Date,League,Home,Away,Odds_H,Odds_A,Odds_H_X,Odds_X_A,Pred_H,Pred_A,Winning_team,Winning_prob,Winning_bet,Winning_bet_final,bet_type,bet_type_order,date,team,opponent,result,Winning_team_actual,bet_right,bet_right_win_draw
2023-09-15,LIGA PORTUGAL ,Estrela,Porto,8.0,1.36,1.17,1.17,0.3,0.7,Porto,0.7,1.36,1.36,safest_bet,3,2023-09-15,Estrela,Porto,L,Porto,1,1
2023-09-24,PREMIER LEAGUE ,Brighton and Hove Albion,Bournemouth,1.36,8.1,1.17,1.17,0.83,0.17,Brighton and Hove Albion,0.83,1.36,1.36,safest_bet,3,2023-09-24,Brighton and Hove Albion,Bournemouth,W,Brighton and Hove Albion,1,1
2023-09-29,LALIGA ,Barcelona,Sevilla,1.36,8.5,1.17,1.17,0.88,0.12,Barcelona,0.88,1.36,1.36,safest_bet,3,2023-09-29,Barcelona,Sevilla,W,Barcelona,1,1
2023-09-23,SERIE A ,Milan,Hellas Verona,1.37,8.3,1.17,1.17,0.93,0.07,Milan,0.93,1.37,1.37,safest_bet,3,2023-09-23,Milan,Hellas Verona,W,Milan,1,1
2023-09-27,SERIE A ,Napoli,Udinese,1.38,8.5,1.17,1.17,0.87,0.13,Napoli,0.87,1.38,1.38,safest_bet,3,2023-09-27,Napoli,Udinese,W,Napoli,1,1
2023-09-27,EREDIVISIE ,Twente,Vitesse,1.39,7.8,1.17,1.17,0.8,0.2,Twente,0.8,1.39,1.39,safest_bet,3,2023-09-27,Twente,Vitesse,W,Twente,1,1
2023-09-30,LIGA PORTUGAL ,Farense,Sporting CP,7.5,1.4,1.17,1.17,0.31,0.69,Sporting CP,0.69,1.4,1.4,safest_bet,3,2023-09-30,Farense,Sporting CP,L,Sporting CP,1,1
2023-11-04,EREDIVISIE ,Excelsior,AZ Alkmaar,7.3,1.4,1.17,1.17,0.22,0.78,AZ Alkmaar,0.78,1.4,1.4,safest_bet,3,2023-11-04,Excelsior,AZ Alkmaar,D,Draw,0,1
2023-10-28,BUNDESLIGA ,RB Leipzig,Koln,1.42,7.5,1.17,1.17,0.81,0.19,RB Leipzig,0.81,1.42,1.42,safest_bet,3,2023-10-28,RB Leipzig,Koln,W,RB Leipzig,1,1
2023-09-24,PREMIER LEAGUE ,Liverpool,West Ham United,1.43,7.1,1.17,1.17,0.82,0.18,Liverpool,0.82,1.43,1.43,safest_bet,3,2023-09-24,Liverpool,West Ham United,W,Liverpool,1,1
2023-10-01,SERIE A ,Roma,Frosinone,1.43,7.8,1.17,1.17,0.9,0.1,Roma,0.9,1.43,1.43,safest_bet,3,2023-10-01,Roma,Frosinone,W,Roma,1,1
2023-09-30,SERIE A ,Salernitana,Internazionale,6.9,1.44,1.17,1.17,0.23,0.77,Internazionale,0.77,1.44,1.44,safest_bet,3,2023-09-30,Salernitana,Internazionale,L,Internazionale,1,1
2023-11-04,SERIE A ,Salernitana,Napoli,6.9,1.44,1.17,1.17,0.16,0.84,Napoli,0.84,1.44,1.44,safest_bet,3,2023-11-04,Salernitana,Napoli,L,Napoli,1,1
2023-10-29,LIGA PORTUGAL ,Vizela,Porto,7.0,1.45,1.17,1.17,0.3,0.7,Porto,0.7,1.45,1.45,safest_bet,3,2023-10-29,Vizela,Porto,L,Porto,1,1
2023-10-28,SERIE A ,Palmeiras,Bahia,1.47,6.5,1.17,1.17,0.91,0.09,Palmeiras,0.91,1.47,1.47,safest_bet,3,2023-10-28,Palmeiras,Bahia,W,Palmeiras,1,1
2023-09-16,PREMIER LEAGUE ,West Ham United,Manchester City,6.7,1.48,1.17,1.17,0.32,0.68,Manchester City,0.68,1.48,1.48,safest_bet,3,2023-09-16,West Ham United,Manchester City,L,Manchester City,1,1
2023-11-05,EREDIVISIE ,Ajax,Heerenveen,1.48,5.85,1.17,1.17,0.81,0.19,Ajax,0.81,1.48,1.48,safest_bet,3,2023-11-05,Ajax,Heerenveen,W,Ajax,1,1
2023-09-24,LIGA PORTUGAL ,Braga,Boavista,1.5,6.0,1.17,1.17,0.81,0.19,Braga,0.81,1.5,1.5,safest_bet,3,2023-09-24,Braga,Boavista,W,Braga,1,1
2023-10-29,JUPILER PRO LEAGUE ,Kortrijk,Genk,5.5,1.5,1.17,1.17,0.33,0.67,Genk,0.67,1.5,1.5,safest_bet,3,2023-10-29,Kortrijk,Genk,L,Genk,1,1
2023-09-16,LIGUE 1 ,Lens,Metz,1.52,5.9,1.17,1.17,0.94,0.06,Lens,0.94,1.52,1.52,safest_bet,3,2023-09-16,Lens,Metz,L,Metz,0,0
